Rank,Player,Team,Age,GP,Wins,Losses,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PlusMinus
1,Joel Embiid,PHI,30,6,2,4,41.4,33.0,9.8,22.2,44.4,2.2,6.5,33.3,11.2,13.0,85.9,3.2,7.7,10.8,5.7,4.2,1.2,1.5,3.3,58.3,4.0,1.0,7.7
2,Jalen Brunson,NYK,27,13,7,6,39.8,32.4,11.6,26.2,44.4,2.0,6.5,31.0,7.2,9.2,77.5,0.6,2.7,3.3,7.5,2.7,0.8,0.2,2.0,47.6,3.0,0.0,0.9
3,Damian Lillard,MIL,33,4,1,3,39.1,31.3,8.5,20.3,42.0,5.0,12.0,41.7,9.3,9.5,97.4,0.5,2.8,3.3,5.0,2.3,1.0,0.0,2.0,43.4,0.0,0.0,-8.8
4,Shai Gilgeous-Alexander,OKC,25,10,6,4,39.9,30.2,11.1,22.4,49.6,1.6,3.7,43.2,6.4,8.1,79.0,0.8,6.4,7.2,6.4,2.2,1.3,1.7,3.1,55.2,3.0,0.0,5.6
5,Tyrese Maxey,PHI,23,6,2,4,44.6,29.8,11.0,23.0,47.8,3.7,9.2,40.0,4.2,4.7,89.3,0.2,5.0,5.2,6.8,2.2,0.8,0.3,2.7,47.6,1.0,0.0,-1.3
6,Donovan Mitchell,CLE,27,10,5,5,38.2,29.6,10.7,22.5,47.6,2.9,8.2,35.4,5.3,6.5,81.5,0.6,4.8,5.4,4.7,2.8,1.3,0.3,2.9,45.1,0.0,0.0,0.0
7,Nikola Jokic,DEN,29,12,7,5,40.2,28.7,11.1,20.3,54.5,1.2,4.4,26.4,5.3,5.9,90.1,3.6,9.8,13.4,8.7,3.3,1.4,0.7,2.7,60.7,9.0,2.0,0.9
8,Luka Doncic,DAL,25,15,11,4,41.9,28.3,9.7,22.4,43.2,3.1,9.7,32.4,5.9,7.3,80.7,0.9,8.3,9.3,9.0,4.0,1.7,0.5,2.4,55.6,11.0,5.0,5.4
9,Anthony Davis,LAL,31,5,1,4,41.6,27.8,11.8,18.6,63.4,0.0,1.0,0.0,4.2,5.2,80.8,3.0,12.6,15.6,4.0,2.2,0.4,1.6,3.8,56.3,5.0,0.0,-1.8
9,LeBron James,LAL,39,5,1,4,40.8,27.8,11.2,19.8,56.6,2.0,5.2,38.5,3.4,4.6,73.9,0.8,6.0,6.8,8.8,3.8,2.4,1.0,2.2,55.6,2.0,0.0,-2.2
11,Devin Booker,PHX,27,4,0,4,41.5,27.5,8.0,16.3,49.2,1.8,5.0,35.0,9.8,10.3,95.1,0.3,3.0,3.3,6.0,2.8,1.8,0.3,4.5,43.7,0.0,0.0,-11.5
12,Anthony Edwards,MIN,22,14,8,6,40.4,27.4,9.6,20.1,48.0,2.9,7.4,38.5,5.3,6.3,84.1,1.1,5.5,6.6,6.4,3.2,1.6,0.6,2.1,48.4,1.0,0.0,6.0
13,Paolo Banchero,ORL,21,7,3,4,37.5,27.0,9.7,21.3,45.6,2.3,5.7,40.0,5.3,7.0,75.5,2.0,6.6,8.6,4.0,4.6,1.1,0.6,2.0,43.9,2.0,0.0,2.9
14,Kevin Durant,PHX,35,4,0,4,42.1,26.8,9.3,16.8,55.2,1.3,3.0,41.7,7.0,8.5,82.4,0.3,6.3,6.5,3.3,2.5,0.5,1.5,2.0,42.9,0.0,0.0,-17.8
15,Jayson Tatum,BOS,26,14,12,2,40.5,26.0,8.6,19.6,44.2,2.1,7.1,29.0,6.6,7.9,84.5,0.9,9.4,10.4,5.9,2.4,1.1,0.7,3.1,50.3,11.0,1.0,10.1
